,job_title,company_name,location,ctc_min(R$),ctc_max(R$),ctc_mean(R$),experience_min(years),experience_required(years),experience_mean(years),posted(days)
138,HR Analyst,Mazars LLP,Gurgaon,11765.0,23529.0,17647.0,0,2,1.0,21
139,Business Development Associate,Planet Spark,Gurgaon,17647.0,41176.0,29412.0,0,5,2.5,21
140,US Olympics Junior Writer,Sportskeeda,Work from home,11765.0,0.0,5882.0,0,2,1.0,21
141,Non IT Recruiter,Spinny - Valuedrive Technologies Private Limited,Gurgaon,11765.0,16471.0,14118.0,0,2,1.0,21
142,Corporate Sales Executive,NoBroker Technologies Solutions Private Limited,"Hubli, Bangalore, Davangere",12941.0,17647.0,15294.0,0,2,1.0,21
143,Business Development Associate,Planet Spark,Gurgaon,29412.0,41176.0,35294.0,0,5,2.5,21
144,Assistant Manager Sales,Planet Spark,Gurgaon,52941.0,5882.0,29412.0,0,5,2.5,21
145,Audit Associate,Writer Safeguard Private Limited,Jaipur,11765.0,14706.0,13235.0,0,2,1.0,21
146,Apprentice - HR,Zydus Lifescience,Ahmedabad,14118.0,0.0,7059.0,0,2,1.0,21
147,Corporate Sales Executive,NIIT Foundation,Delhi,17647.0,21176.0,19412.0,0,2,1.0,21
148,Business Development Executive,BYJU'S The Learning App,"Mumbai, Chandigarh, Delhi",11765.0,15882.0,13824.0,0,2,1.0,21
149,Recruiter,ASMACS Skill Development Limited,Mira Bhayandar,11765.0,0.0,5882.0,0,2,1.0,21
150,Field Sales Associate,PolicyBazaar.com,"Gurgaon, Delhi",14706.0,23529.0,19118.0,0,2,1.0,21
151,Content Marketing Executive,Bridging GAPS,"Mohali, Panchkula, Chandigarh",23529.0,26471.0,25000.0,0,2,1.0,21
152,Business Development Manager,Planet Spark,Gurgaon,17647.0,41176.0,29412.0,0,5,2.5,21
153,Trainee - SCM,Raj Petro Specialities Private Limited,"Manali, Chennai, Silvassa, Mumbai",11765.0,16471.0,14118.0,0,2,1.0,21
154,Admission Support Officer,Aakash Educational Services Limited,"Delhi, Noida",17647.0,26471.0,22059.0,0,2,1.0,21
155,Business Development (Sales) Executive,Planet Spark,Gurgaon,17647.0,41176.0,29412.0,0,5,2.5,21
156,Customer Support Associate,PolicyBazaar.com,Mumbai,11765.0,12353.0,12059.0,0,2,1.0,21
157,Business Development Associate,Bhanzu (Formerly Exploring Infinities),Bangalore,11765.0,17647.0,14706.0,0,2,1.0,21
158,UK Healthcare Recruiter,IMS Group,Ahmedabad,14706.0,20588.0,17647.0,0,2,1.0,21
159,Creative Designer,Hello Parent,Work from home,11765.0,17647.0,14706.0,0,2,1.0,21
160,Business Development Executive,BYJU'S The Learning App,"Gujarat, Delhi, Noida, Rajasthan",12353.0,15882.0,14118.0,0,2,1.0,21
161,Business Development Executive,GBH Auto Mechanics & Services LLP,Kolkata,17647.0,0.0,8824.0,0,2,1.0,21
162,Business Development Associate,GBH Auto Mechanics And Services LLP,Work from home,29412.0,7059.0,18235.0,0,5,2.5,21
163,Business Development Executive,GBH Auto Mechanics & Services LLP,Work from home,28235.0,35294.0,31765.0,0,5,2.5,21
164,Business Development Manager,Decathlon Sport India Private Limited,Mumbai,17647.0,19765.0,18706.0,0,2,1.0,21
165,Billing & Collections Analyst (Accountant),Enfusion,Mumbai,17647.0,23529.0,20588.0,0,2,1.0,21
166,Business Development Specialist,Planet Spark,Gurgaon,17647.0,41176.0,29412.0,0,5,2.5,21
167,Animator,Saregama India Limited,Mumbai,11765.0,12706.0,12235.0,0,2,1.0,21
168,Facebook Marketing Executive,Saregama India Limited,Mumbai,11765.0,14118.0,12941.0,0,2,1.0,21
169,Team Leader,Bajaj Allianz Life Insurance,Kolkata,11765.0,17647.0,14706.0,0,2,1.0,21
170,Business Development Executive,NoBroker Technologies Solutions Private Limited,Bangalore,14706.0,28235.0,21471.0,0,2,1.0,21
171,SME: Physics,Straive,Work from home,17647.0,0.0,8824.0,0,2,1.0,21
172,SME: Statistics,Straive,Work from home,17647.0,0.0,8824.0,0,2,1.0,21
173,SME: Mathematics,Straive,Work from home,17647.0,0.0,8824.0,0,2,1.0,21
174,SME: Chemistry,Straive,Work from home,17647.0,0.0,8824.0,0,2,1.0,21
175,Senior Social Media Marketing Manager,Valkyre Clothing,Mumbai,14706.0,20588.0,17647.0,1,3,2.0,3
176,Graphic Designer,Marcamor Consulting,Hyderabad,20588.0,29412.0,25000.0,1,3,2.0,3
177,Academic Counselor - Inside Sales,DataTrained Education Private Limited,"Noida, Greater Noida, Faridabad, Delhi, Ghaziabad",14706.0,29412.0,22059.0,0,2,1.0,3
178,Sales Executive,Gainers Realtors LLP,Gurgaon,11765.0,24706.0,18235.0,0,5,2.5,3
179,STEM Trainer,Robokidz Eduventures Private Limited,"Pune, Jodhpur, Jaipur, Udaipur, Shillong",14118.0,17647.0,15882.0,0,2,1.0,3
180,Business Development (Sales) Associate,Bosscoder Academy,Work from home,17647.0,35294.0,26471.0,0,2,1.0,3
181,Mobile Application Developer - React Native,Guruji Astro,Jaipur,29412.0,47059.0,38235.0,3,5,4.0,3
182,Senior Front End Developer,Guruji Astro,Jaipur,29412.0,47059.0,38235.0,3,5,4.0,3
183,Customer Care Executive - Remote,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,1,5,3.0,3
184,Digital Marketing Associate - Remote,IIDE Education Private Limited,Work from home,23529.0,35294.0,29412.0,1,4,2.5,3
185,Performance Marketing Associate,IIDE Education Private Limited,Work from home,29412.0,41176.0,35294.0,2,4,3.0,3
186,Junior Search Engine Optimization (SEO) Executive,Comit Solution,Work from home,11765.0,17647.0,14706.0,1,2,1.5,3
187,Product Marketing Associate,IIDE Education Private Limited,Work from home,23529.0,35294.0,29412.0,1,4,2.5,3
188,Paid Media Executive - Remote,IIDE Education Private Limited,Work from home,29412.0,35294.0,32353.0,1,4,2.5,3
189,Content Strategist - Remote,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,1,4,2.5,3
190,Associate Graphic Designer,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,1,3,2.0,3
191,Junior Search Engine Optimization (SEO) Executive - Remote,IIDE Education Private Limited,Work from home,17647.0,35294.0,26471.0,0,3,1.5,3
192,Remote Marketing Consultant,IIDE Education Private Limited,Work from home,29412.0,35294.0,32353.0,2,5,3.5,3
193,Marketing Coordinator - Remote,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,1,3,2.0,3
194,Content Marketing Specialist,IIDE Education Private Limited,Work from home,23529.0,29412.0,26471.0,1,5,3.0,3
195,Video Editor - Remote,IIDE Education Private Limited,Work from home,17647.0,23529.0,20588.0,0,3,1.5,3
196,Video Marketing Executive - Remote,IIDE Education Private Limited,Work from home,29412.0,41176.0,35294.0,2,5,3.5,3
197,Business Development Associate,Nixio Tech,Work from home,26471.0,38235.0,32353.0,0,4,2.0,3
198,E-commerce Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,23529.0,35294.0,29412.0,0,5,2.5,3
199,Copywriter - Remote,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,0,5,2.5,3
200,Digital Marketing Executive,IIDE Education Private Limited,Work from home,14706.0,26471.0,20588.0,0,2,1.0,3
201,Telesales Executive,NetPaisa,Noida,11765.0,17647.0,14706.0,0,2,1.0,7
202,Instagram Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,17647.0,26471.0,22059.0,0,0,0.0,1
203,Social Media Executive - Remote,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,0,4,2.0,1
204,Social Media Marketing Associate - Remote,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,0,5,2.5,1
205,Marketing Executive - Remote,IIDE Education Private Limited,Work from home,17647.0,29412.0,23529.0,0,5,2.5,1
209,Event Executive - Exhibition,Peppermint Communications Private Limited,"Thane, Bhiwandi, Kalyan, Ambernath, Dombivli, Karjat, Ulhasnagar",11765.0,14118.0,12941.0,0,3,1.5,2
210,Event Management Executive,Breakout,Koramangala,14118.0,17647.0,15882.0,0,1,0.5,3
211,Marketing Executive,Right Health & Pharmaceuticals,Mumbai,17647.0,47059.0,32353.0,1,5,3.0,1
212,CUSTOMER RELATIONSHIP MANAGER SALES,Stareye Media & Entertainment Private Limited,Ahmedabad,11765.0,17647.0,14706.0,0,5,2.5,2
213,Digital Marketing Executive,Vritti Solution Limited,Coimbatore,11765.0,14706.0,13235.0,1,3,2.0,3
214,Digital Marketing Executive,Mobavenue Media Private Limited,Mumbai,14706.0,20588.0,17647.0,0,2,1.0,4
215,Jr Video Editing And Production Specialist,Peppermint Communications Private Limited,"Bhiwandi, Thane, Ambernath, Ulhasnagar, Dombivli, Kalyan, Karjat",14118.0,17647.0,15882.0,0,2,1.0,1
216,Executive Assistant,Peppermint Communications Private Limited,"Ulhasnagar, Thane, Dombivli, Kalyan, Ambernath, Bhiwandi",11765.0,17647.0,14706.0,0,3,1.5,2
217,Manual Jewelry Designer,Axe Consultancy And Security Services LLC,Surat,11765.0,0.0,5882.0,0,2,1.0,2
218,Associate Video Editor,K4 Media & Technologies,Jaipur,11765.0,17647.0,14706.0,0,5,2.5,2
219,Field Sales Executive,PatilKaki,Navi Mumbai,11765.0,14706.0,13235.0,1,2,1.5,3
220,Junior Sales Executive,Tring,"Thane, Navi Mumbai, Mumbai, Panvel",11765.0,17647.0,14706.0,0,2,1.0,1
221,Digital Marketing Executive,Akrati Jewels Incorporation,Jaipur,11765.0,14118.0,12941.0,0,2,1.0,2
222,Associate - Operations (Accountancy),Lloyd Harrington Australia Proprietary Limited,Guwahati,11765.0,17647.0,14706.0,1,2,1.5,2
223,Marketing Executive,MAG Finserv,Pune,14118.0,17647.0,15882.0,1,3,2.0,2
224,Front Desk And Admin Executive,Shemrock & Shemford Group Of Schools,Gurgaon,14118.0,24706.0,19412.0,1,4,2.5,3
225,Graphic Designer & Video Editor,The BrowMasters,Mumbai,23529.0,35294.0,29412.0,1,5,3.0,4
226,Business Development Associate,VerveSchool,Bhopal,35294.0,47059.0,41176.0,0,1,0.5,4
227,Corporate Sales Executive,Red Cube Digital Media Private Limited,Delhi,29412.0,0.0,14706.0,2,0,1.0,5
228,Business Development Executive,Fusion Beauty,Delhi,14118.0,29412.0,21765.0,1,5,3.0,2
229,Business Development Associate (Mumbai),IB Cricket,"Thane, Navi Mumbai, Mumbai",17647.0,29412.0,23529.0,0,2,1.0,2
230,Business Development Associate,Careers360,Gurgaon,14706.0,26471.0,20588.0,0,1,0.5,3
231,Field Fundraiser - Greenpeace NGO,Direct Dialogue Initiatives India Private Limited,Bangalore,17647.0,20588.0,19118.0,0,3,1.5,3
232,Field Sales Executive,Vritti Solution Limited,Kota,11765.0,14118.0,12941.0,0,1,0.5,3
233,Back Office Executive,Axe Consultancy And Security Services LLC,Surat,11765.0,11765.0,11765.0,0,2,1.0,2
234,Customer Service Executive,GetWork,Delhi,11765.0,14118.0,12941.0,0,2,1.0,2
235,Audit And Accounts Executive,MAG Finserv,Pune,14118.0,17647.0,15882.0,1,3,2.0,2
236,Associate Content Writer,K4 Media & Technologies,Jaipur,11765.0,0.0,5882.0,0,5,2.5,2
237,Bolt Operator And Assitant,Bonanza Portfolio Limited,Kalyan,11765.0,14706.0,13235.0,1,5,3.0,3
238,Business Development Executive,Able Jobs,Bangalore,17647.0,23529.0,20588.0,0,4,2.0,4
239,Senior Associate - Trainings Content Development,Internshala Trainings,Gurgaon,29412.0,35294.0,32353.0,1,2,1.5,1
240,Business Development Executive,Xboom Utilities Private Limited,Delhi,21176.0,29412.0,25294.0,0,5,2.5,1
241,Business Development Manager,Fusion Beauty,Delhi,17647.0,35294.0,26471.0,1,5,3.0,2
242,Client Relationship Manager,Fusion Beauty,Delhi,17647.0,35294.0,26471.0,1,5,3.0,2
243,Associate - Operations (Accountancy),Lloyd Harrington Australia Proprietary Limited,Kolkata,11765.0,17647.0,14706.0,1,2,1.5,2
244,Field Fundraiser,Direct Dialogue Initiatives India Private Limited,Hyderabad,17647.0,20588.0,19118.0,0,3,1.5,2
